bps,pum,nama
3376,33.76,Tegal
3401,34.01,Kulon Progo
3402,34.02,Bantul
3403,34.03,Gunungkidul
3404,34.04,Sleman
3471,34.71,Yogyakarta
3601,36.01,Pandeglang
3602,36.02,Lebak
3603,36.03,Tangerang
3604,36.04,Serang
3671,36.71,Tangerang
3672,36.72,Cilegon
3673,36.73,Serang
3674,36.74,Tangerang Selatan
5101,51.01,Jembrana
5102,51.02,Tabanan
5103,51.03,Badung
5104,51.04,Gianyar
5105,51.05,Klungkung
5106,51.06,Bangli
5107,51.07,Karangasem
5108,51.08,Buleleng
5171,51.71,Denpasar
5201,52.01,Lombok Barat
5202,52.02,Lombok Tengah
5203,52.03,Lombok Timur
5204,52.04,Sumbawa
5205,52.05,Dompu
5206,52.06,Bima
5207,52.07,Sumbawa Barat
5208,52.08,Lombok Utara
5271,52.71,Mataram
5272,52.72,Bima
5301,53.12,Sumba Barat
5302,53.11,Sumba Timur
5303,53.01,Kupang
5304,53.02,Timor Tengah Selatan
5305,53.03,Timor Tengah Utara
5306,53.04,Belu
5307,53.05,Alor
5308,53.13,Lembata
5309,53.06,Flores Timur
5310,53.07,Sikka
5311,53.08,Ende
5312,53.09,Ngada
5313,53.10,Manggarai
5314,53.14,Rote Ndao
5315,53.15,Manggarai Barat
5316,53.17,Sumba Tengah
5317,53.18,Sumba Barat Daya
5318,53.16,Nagekeo
5319,53.19,Manggarai Timur
5320,53.20,Sabu Raijua
5321,53.21,Malaka
5371,53.71,Kupang
6101,61.01,Sambas
6102,61.07,Bengkayang
6103,61.08,Landak
6104,61.02,Mempawah
6105,61.03,Sanggau
6106,61.04,Ketapang
6107,61.05,Sintang
6108,61.06,Kapuas Hulu
6109,61.09,Sekadau
6110,61.10,Melawi
6111,61.11,Kayong Utara
6112,61.12,Kubu Raya
6171,61.71,Pontianak
6172,61.72,Singkawang
6201,62.01,Kotawaringin Barat
6202,62.02,Kotawaringin Timur
6203,62.03,Kapuas
6204,62.04,Barito Selatan
6205,62.05,Barito Utara
6206,62.08,Sukamara
6207,62.09,Lamandau
6208,62.07,Seruyan
6209,62.06,Katingan
6210,62.11,Pulang Pisau
6211,62.10,Gunung Mas
6212,62.13,Barito Timur
6213,62.12,Murung Raya
6271,62.71,Palangka Raya
6301,63.01,Tanah Laut
6302,63.02,Kotabaru
6303,63.03,Banjar
6304,63.04,Barito Kuala
6305,63.05,Tapin
6306,63.06,Hulu Sungai Selatan
6307,63.07,Hulu Sungai Tengah
6308,63.08,Hulu Sungai Utara
6309,63.09,Tabalong
6310,63.10,Tanah Bumbu
6311,63.11,Balangan
6371,63.71,Banjarmasin
6372,63.72,Banjarbaru
6401,64.01,Paser
6402,64.07,Kutai Barat
6403,64.02,Kutai Kartanegara
6404,64.08,Kutai Timur
6405,64.03,Berau
6409,64.09,Penajam Paser Utara
6411,64.11,Mahakam Ulu
6471,64.71,Balikpapan
6472,64.72,Samarinda
6474,64.74,Bontang
6501,65.02,Malinau
6502,65.01,Bulungan
6503,65.04,Tana Tidung
6504,65.03,Nunukan
6571,65.71,Tarakan
7101,71.01,Bolaang Mongondow
7102,71.02,Minahasa
7103,71.03,Kepulauan Sangihe
7104,71.04,Kepulauan Talaud
7105,71.05,Minahasa Selatan
7106,71.06,Minahasa Utara
7107,71.08,Bolaang Mongondow Utara
7108,71.09,Kepulauan Siau Tagulandang Biaro
7109,71.07,Minahasa Tenggara
7110,71.11,Bolaang Mongondow Selatan
7111,71.10,Bolaang Mongondow Timur
7171,71.71,Manado
7172,71.72,Bitung
7173,71.73,Tomohon
7174,71.74,Kotamobagu
7201,72.07,Banggai Kepulauan
7202,72.01,Banggai
7203,72.06,Morowali
7204,72.02,Poso
7205,72.03,Donggala
7206,72.04,Toli-toli
7207,72.05,Buol
7208,72.08,Parigi Moutong
7209,72.09,Tojo Una-una
7210,72.10,Sigi
7211,72.11,Banggai Laut
7212,72.12,Morowali Utara
7271,72.71,Palu
7301,73.01,Kepulauan Selayar
7302,73.02,Bulukumba
7303,73.03,Bantaeng
7304,73.04,Jeneponto
7305,73.05,Takalar
7306,73.06,Gowa
7307,73.07,Sinjai
7308,73.09,Maros
7309,73.10,Pangkajene Dan Kepulauan
7310,73.11,Barru
7311,73.08,Bone
7312,73.12,Soppeng
7313,73.13,Wajo
7314,73.14,Sidenreng Rappang
7315,73.15,Pinrang
7316,73.16,Enrekang
7317,73.17,Luwu
7318,73.18,Tana Toraja
7322,73.22,Luwu Utara
7325,73.24,Luwu Timur
7326,73.26,Toraja Utara
7371,73.71,Makassar
7372,73.72,Parepare
7373,73.73,Palopo
7401,74.04,Buton
7402,74.03,Muna
7403,74.02,Konawe
7404,74.01,Kolaka
7405,74.05,Konawe Selatan
7406,74.06,Bombana
7407,74.07,Wakatobi
7408,74.08,Kolaka Utara
7409,74.10,Buton Utara
7410,74.09,Konawe Utara
7411,74.11,Kolaka Timur
7412,74.12,Konawe Kepulauan
7413,74.13,Muna Barat
7414,74.14,Buton Tengah
7415,74.15,Buton Selatan
7471,74.71,Kendari
7472,74.72,Baubau
7501,75.02,Boalemo
7502,75.01,Gorontalo
7503,75.04,Pohuwato
7504,75.03,Bone Bolango
7505,75.05,Gorontalo Utara
7571,75.71,Gorontalo
7601,76.05,Majene
7602,76.04,Polewali Mandar
7603,76.03,Mamasa
7604,76.02,Mamuju
7605,76.01,Pasangkayu
7606,76.06,Mamuju Tengah
8102,81.02,Maluku Tenggara
8103,81.01,Maluku Tengah
8104,81.04,Buru
8105,81.07,Kepulauan Aru
8106,81.06,Seram Bagian Barat
8107,81.05,Seram Bagian Timur
8108,81.08,Maluku Barat Daya
8109,81.09,Buru Selatan
8171,81.71,Ambon
8172,81.72,Tual
8201,82.01,Halmahera Barat
8202,82.02,Halmahera Tengah
8203,82.05,Kepulauan Sula
8204,82.04,Halmahera Selatan
