kode_pum,kode_bps,nama
11.08.14,1111080,Tanah Jambo Aye
11.08.18,1111081,Langkahan
11.08.09,1111090,Seunuddon
11.08.01,1111100,Baktiya
11.08.19,1111101,Baktiya Barat
11.08.04,1111110,Lhoksukon
11.08.12,1111120,Tanah Luas
11.08.21,1111121,Nibong
11.08.08,1111130,Samudera
11.08.10,1111140,Syamtalira Aron
11.08.13,1111150,Tanah Pasir
11.08.23,1111151,Lapang
11.08.06,1111160,Muara Batu
11.08.02,1111170,Dewantara
11.12.03,1112010,Manggeng
11.12.09,1112011,Lembah Sabil
11.12.02,1112020,Tangan-tangan
11.12.07,1112021,Setia
11.12.01,1112030,Blangpidie
11.12.08,1112031,Jeumpa
11.12.04,1112040,Susoh
11.12.05,1112050,Kuala Batee
11.12.06,1112060,Babah Rot
11.13.02,1113010,Kutapanjang
11.13.09,1113011,Blangjerango
11.13.01,1113020,Blangkejeren
11.13.07,1113021,Puteri Betung
11.13.08,1113022,Dabun Gelang
11.13.06,1113023,Blangpegayon
11.13.05,1113030,Pining
11.13.03,1113040,Rikit Gaib
11.13.11,1113041,Pantan Cuaca
11.13.04,1113050,Terangun
11.13.10,1113051,Teripe Jaya
11.16.07,1114010,Tamiang Hulu
11.16.10,1114011,Bandar Pusaka
11.16.06,1114020,Kejuruan Muda
11.16.11,1114021,Tenggulun
11.16.08,1114030,Rantau
11.16.05,1114040,Kota Kualasinpang
11.16.04,1114050,Seruway
11.16.02,1114060,Bendahara
11.16.09,1114061,Banda Mulia
11.16.03,1114070,Karang Baru
11.16.12,1114071,Sekerak
11.16.01,1114080,Manyak Payed
11.15.05,1115010,Darul Makmur
11.15.09,1115011,Tripa Makmur
11.15.01,1115020,Kuala
11.15.07,1115021,Kuala Pesisir
11.15.08,1115022,Tadu Raya
11.15.04,1115030,Beutong
11.15.10,1115031,Beutong Ateuh Banggalang
11.15.02,1115040,Seunagan
11.15.06,1115041,Suka Makmue
11.15.03,1115050,Seunagan Timur
11.14.01,1116010,Teunom
11.14.09,1116011,Pasie Raya
11.14.06,1116020,Panga
11.14.02,1116030,Krueng Sabee
11.14.03,1116040,Setia Bakti
11.14.04,1116050,Sampoi Niet
11.14.08,1116051,Darul Hikmah
11.14.05,1116060,Jaya
11.14.07,1116061,Indra Jaya
11.17.07,1117010,Timang Gajah
11.17.10,1117011,Gajah Putih
11.17.01,1117020,Pintu Rime Gayo
11.17.05,1117030,Bukit
11.17.06,1117040,Wih Pesam
11.17.04,1117050,Bandar
11.17.08,1117051,Bener Kelipah
11.17.03,1117060,Syiah Utama
11.17.09,1117061,Mesidah
11.17.02,1117070,Permata
11.18.01,1118010,Meureudu
11.18.05,1118020,Meurah Dua
11.18.04,1118030,Bandar Dua
11.18.03,1118040,Jangka Buya
11.18.02,1118050,Ulim
11.18.08,1118060,Trienggadeng
11.18.07,1118070,Panteraja
11.18.06,1118080,Bandar Baru
11.71.03,1171010,Meuraxa
11.71.08,1171011,Jaya Baru
11.71.07,1171012,Banda Raya
11.71.01,1171020,Baiturrahman
11.71.05,1171021,Lueng Bata
11.71.02,1171030,Kuta Alam
11.71.06,1171031,Kuta Raja
11.71.04,1171040,Syiah Kuala
11.71.09,1171041,Ulee Kareng
11.72.02,1172010,Sukajaya
11.72.03,1172011,Sukamakmue
11.72.01,1172020,Sukakarya
11.74.01,1173010,Langsa Timur
11.74.04,1173011,Langsa Lama
11.74.02,1173020,Langsa Barat
11.74.05,1173021,Langsa Baro
11.74.03,1173030,Langsa Kota
11.73.03,1174010,Blang Mangat
11.73.01,1174020,Muara Dua
11.73.04,1174021,Muara Satu
11.73.02,1174030,Banda Sakti
11.75.01,1175010,Simpang Kiri
11.75.02,1175020,Penanggalan
11.75.03,1175030,Rundeng
11.75.04,1175040,Sultan Daulat
11.75.05,1175050,Longkib
12.04.10,1201060,Idanogawo
12.04.11,1201061,Bawolato
12.04.27,1201062,Ulugawo
12.04.06,1201070,Gido
12.04.35,1201071,Sogae'adu
12.04.28,1201081,Ma'u
12.04.29,1201082,Somolo-molo
12.04.05,1201130,Hiliduho
12.04.20,1201131,Hiliserangkai
12.04.21,1201132,Botomuzoi
12.13.15,1202010,Batahan
12.13.22,1202011,Sinunukan
12.13.13,1202020,Batang Natal
12.13.14,1202021,Lingga Bayu
12.13.18,1202022,Ranto Baek
12.13.08,1202030,Kotanopan
12.13.11,1202031,Ulu Pungkut
12.13.10,1202032,Tambangan
12.13.09,1202033,Lembah Sorik Marapi
12.13.20,1202034,Puncak Sorik Marapi
12.13.12,1202040,Muara Sipongi
12.13.21,1202041,Pakantan
12.13.01,1202050,Panyabungan
12.13.04,1202051,Panyabungan Selatan
12.13.05,1202052,Panyabungan Barat
12.13.02,1202053,Panyabungan Utara
12.13.03,1202054,Panyabungan Timur
12.13.19,1202055,Huta Bargot
12.13.16,1202060,Natal
12.13.17,1202070,Muara Batang Gadis
12.13.06,1202080,Siabu
12.13.07,1202081,Bukit Malintang
12.13.23,1202082,Naga Juang
12.03.07,1203010,Batang Angkola
12.03.21,1203011,Sayur Matinggi
12.03.30,1203012,Tano Tombangan Angkola
12.03.32,1203013,Angkola Muara Tais
12.03.03,1203070,Angkola Timur
12.03.06,1203080,Angkola Selatan
12.03.01,1203090,Angkola Barat
12.03.31,1203091,Angkola Sangkunur
12.03.02,1203100,Batang Toru
12.03.20,1203101,Marancar
12.03.29,1203102,Muara Batang Toru
12.03.04,1203110,Sipirok
12.03.14,1203120,Arse
12.03.05,1203160,Saipar Dolok Hole
12.03.22,1203161,Aek Bilah
12.01.04,1204010,Pinangsori
12.01.15,1204011,Badiri
12.01.08,1204020,Sibabangun
12.01.19,1204021,Lumut
12.01.18,1204022,Suka Bangun
12.01.03,1204030,Pandan
12.01.14,1204031,Tukka
12.01.20,1204032,Sarudik
12.01.07,1204040,Tapian Nauli
12.01.13,1204041,Sitahuis
12.01.06,1204050,Kolang
12.01.02,1204060,Sorkam
12.01.10,1204061,Sorkam Barat
12.01.16,1204062,Pasaribu Tobing
12.01.01,1204070,Barus
12.01.09,1204071,Sosorgadong
12.01.12,1204072,Andam Dewi
12.01.17,1204073,Barus Utara
12.01.05,1204080,Manduamas
12.01.11,1204081,Sirandorung
12.02.11,1205030,Parmonangan
12.02.03,1205040,Adiankoting
12.02.04,1205050,Sipoholon
12.02.01,1205060,Tarutung
12.02.02,1205061,Siatas Barita
12.02.05,1205070,Pahae Julu
12.02.06,1205080,Pahae Jae
12.02.08,1205081,Purbatua
12.02.07,1205082,Simangumban
12.02.13,1205090,Pangaribuan
12.02.14,1205100,Garoga
12.02.12,1205110,Sipahutar
12.02.09,1205120,Siborongborong
12.02.10,1205130,Pagaran
12.02.15,1205180,Muara
12.12.01,1206030,Balige
12.12.22,1206031,Tampahan
12.12.02,1206040,Laguboti
12.12.04,1206050,Habinsaran
12.12.06,1206051,Borbor
12.12.21,1206052,Nassau
