kode_pum,kode_bps,nama
11.10.04.2008,1102020010,Rantau Gedang
11.10.04.2009,1102020011,Teluk Rumbia
11.10.04.2012,1102020012,Takal Pasir
11.10.04.2014,1102020013,Selok Aceh
11.10.04.2010,1102020014,Pea Bumbung
11.10.04.2011,1102020015,Pemuka
11.10.04.2020,1102020019,Suka Damai
11.10.04.2017,1102020020,Ujung Bawang
11.10.04.2019,1102020021,Siti Ambia
11.10.04.2016,1102020022,Suka Makmur
11.10.10.2001,1102021001,Gosong Telaga Utara
11.10.10.2002,1102021002,Gosong Telaga Selatan
11.10.10.2005,1102021003,Gosong Telaga Timur
11.10.10.2007,1102021004,Telaga Bakti
11.10.10.2003,1102021005,Kampung Baru
11.10.10.2004,1102021006,Ketapang Indah
11.10.10.2006,1102021007,Gosong Telaga Barat
11.10.14.2004,1102022001,Kayu Menang
11.10.14.2002,1102022002,Kuala Baru Sungai
11.10.14.2001,1102022003,Kuala Baru Laut
11.10.14.2003,1102022004,Suka Jaya
11.10.02.2005,1102030017,Pangi
11.10.02.2021,1102030026,Tugan
11.10.02.2019,1102030027,Cibubukan
11.10.02.2002,1102030028,Kain Golong
11.10.02.2006,1102030029,Sukarejo
11.10.02.2015,1102030030,Tuhtuhan
11.10.02.2016,1102030031,Lae Gecih
11.10.02.2004,1102030032,Siatas
11.10.02.2003,1102030033,Kuta Kerangan
11.10.02.2001,1102030034,Lipat Kajang
11.10.02.2022,1102030035,Tanjung Mas
11.10.02.2020,1102030036,Serasah
11.10.02.2007,1102030038,Ujung Limus
11.10.02.2008,1102030039,Silatong
11.10.02.2010,1102030040,Lae Riman
11.10.02.2009,1102030041,Pertabas
11.10.02.2014,1102030042,Kuta Tinggi
11.10.02.2013,1102030043,Lae Nipe
11.10.02.2011,1102030044,Pakiraman
11.10.02.2018,1102030048,Lae Gambir
11.10.02.2012,1102030049,Kuta Batu
11.10.02.2017,1102030050,Guha
11.10.02.2023,1102030051,Lipat Kajang Atas
11.10.02.2024,1102030052,Sidodadi
11.10.02.2025,1102030053,Pandan Sari
11.10.06.2019,1102031001,Pertampakan
11.10.06.2018,1102031002,Tanah Merah
11.10.06.2017,1102031003,Sebatang
11.10.06.2016,1102031004,Seping Baru
11.10.06.2015,1102031005,Perangusan
11.10.06.2014,1102031006,Gunung Lagan
11.10.06.2006,1102031007,Tanah Bara
11.10.06.2013,1102031008,Suka Makmur
11.10.06.2012,1102031009,Sidorejo
11.10.06.2020,1102031010,Pandan Sari
11.10.06.2011,1102031011,Blok 31
11.10.06.2010,1102031012,Blok 18
11.10.06.2021,1102031013,Sanggaberu Silulusan
11.10.06.2009,1102031014,Blok 15
11.10.06.2022,1102031015,Tulaan
11.10.06.2008,1102031016,Blok Vi Baru
11.10.06.2023,1102031017,Tunas Harapan
11.10.06.2024,1102031018,Lae Butar
11.10.06.2007,1102031019,Rimo
11.10.06.2025,1102031020,Sianjo-anjo Meriah
11.10.06.2004,1102031021,Cingkam
11.10.06.2003,1102031022,Bukit Harapan
11.10.06.2002,1102031023,Penjahitan
11.10.06.2001,1102031024,Tanjung Betik
11.10.06.2005,1102031025,Labuhan Kera
11.10.11.2006,1102032001,Sintuban Makmur
11.10.11.2001,1102032002,Lae Balno
11.10.11.2003,1102032003,Sikoran
11.10.11.2002,1102032004,Napagaluh
