kode_pum,kode_bps,nama,file_logo
91.20,9428,Mamberamo Raya,kab-h250px-9120.jpg
91.71,9471,Kota Jayapura,kab-h250px-9171.jpg
92.02,9105,Manokwari,kab-h250px-9202.jpg
92.03,9101,Fakfak,kab-h250px-9203.jpg
92.06,9104,Teluk Bintuni,kab-h250px-9206.jpg
92.07,9103,Teluk Wondama,kab-h250px-9207.jpg
92.08,9102,Kaimana,kab-h250px-9208.jpg
92.11,9111,Manokwari Selatan,kab-h250px-9211.jpg
92.12,9112,Pegunungan Arfak,kab-h250px-9212.jpg
93.01,9501,Merauke,kab-h250px-9301.jpg
93.02,9502,Boven Digoel,kab-h250px-9302.jpg
93.03,9503,Mappi,kab-h250px-9303.jpg
93.04,9504,Asmat,kab-h250px-9304.jpg
94.01,9604,Nabire,kab-h250px-9401.jpg
94.02,9608,Puncak Jaya,kab-h250px-9402.jpg
94.03,9605,Paniai,kab-h250px-9403.jpg
94.04,9601,Mimika,kab-h250px-9404.jpg
94.05,9607,Puncak,kab-h250px-9405.jpg
94.06,9602,Dogiyai,kab-h250px-9406.jpg
94.07,9606,Intan Jaya,kab-h250px-9407.jpg
94.08,9603,Deiyai,kab-h250px-9408.jpg
